Date,Price,Open,High,Low,Vol.,Change %
2018-06-25,93.939,94.15,94.365,93.865,16.30K,-0.26%
2018-06-26,94.346,93.95,94.455,93.83,15.30K,0.43%
2018-06-27,94.969,94.375,95.11,94.2,20.16K,0.66%
2018-06-28,95.096,94.97,95.255,94.79,19.79K,0.13%
2018-06-29,94.349,95.025,95.055,94.195,28.02K,-0.79%
2018-07-02,94.779,94.3,94.885,94.26,16.22K,0.46%
2018-07-03,94.412,94.59,94.73,94.28,15.03K,-0.39%
2018-07-04,94.412,94.32,94.455,94.135,10.80K,0.00%
2018-07-05,94.223,94.27,94.345,93.915,13.95K,-0.20%
2018-07-06,93.769,94.125,94.235,93.575,19.78K,-0.48%
2018-07-09,93.807,93.73,93.94,93.44,17.46K,0.04%
2018-07-10,93.889,93.805,94.225,93.75,14.45K,0.09%
2018-07-11,94.486,93.955,94.535,93.82,25.19K,0.64%
2018-07-12,94.564,94.485,94.715,94.4,14.68K,0.08%
2018-07-13,94.5,94.64,95,94.43,17.52K,-0.07%
2018-07-16,94.272,94.455,94.52,94.15,12.03K,-0.24%
2018-07-17,94.704,94.29,94.855,94.04,18.66K,0.46%
2018-07-18,94.811,94.8,95.18,94.72,27.55K,0.11%
2018-07-19,94.942,94.82,95.44,94.665,40.05K,0.14%
2018-07-20,94.226,94.905,95.095,94.125,34.63K,-0.75%
2018-07-23,94.44,94.195,94.49,93.97,15.26K,0.23%
2018-07-24,94.388,94.425,94.635,94.165,13.35K,-0.06%
2018-07-25,94.129,94.375,94.45,93.905,19.41K,-0.27%
2018-07-26,94.544,93.94,94.58,93.87,22.63K,0.44%
2018-07-27,94.46,94.545,94.7,94.42,15.97K,-0.09%
2018-07-30,94.111,94.485,94.555,94.04,12.40K,-0.37%
2018-07-31,94.275,94.12,94.365,93.94,15.48K,0.17%
2018-08-01,94.428,94.355,94.515,94.29,10.72K,0.16%
2018-08-02,94.987,94.45,95.02,94.42,20.49K,0.59%
2018-08-03,94.961,95.01,95.195,94.795,22.57K,-0.03%
2018-08-06,95.187,95.045,95.35,95.03,15.08K,0.24%
2018-08-07,95.046,95.17,95.225,94.81,15.10K,-0.15%
2018-08-08,94.89,94.99,95.25,94.82,16.85K,-0.16%
2018-08-09,95.355,94.955,95.485,94.87,19.15K,0.49%
2018-08-10,96.218,95.48,96.31,95.385,43.15K,0.91%
2018-08-13,96.251,96.25,96.39,96.02,20.27K,0.03%
2018-08-14,96.605,96.21,96.67,96.02,20.76K,0.37%
2018-08-15,96.577,96.55,96.865,96.53,19.02K,-0.03%
2018-08-16,96.536,96.615,96.665,96.205,19.62K,-0.04%
2018-08-17,95.981,96.5,96.56,95.97,17.17K,-0.57%
2018-08-20,95.789,96.05,96.3,95.655,17.94K,-0.20%
2018-08-21,95.15,95.625,95.66,94.96,24.69K,-0.67%
2018-08-22,95.051,95.095,95.28,94.83,17.93K,-0.10%
2018-08-23,95.583,95.08,95.625,95.08,18.33K,0.56%
2018-08-24,95.063,95.57,95.61,94.935,23.38K,-0.54%
2018-08-27,94.684,95.08,95.23,94.595,18.84K,-0.40%
2018-08-28,94.635,94.66,94.825,94.34,18.56K,-0.05%
2018-08-29,94.522,94.63,94.86,94.44,18.77K,-0.12%
2018-08-30,94.679,94.455,94.85,94.395,21.37K,0.17%
2018-08-31,95.083,94.655,95.17,94.485,21.92K,0.43%
2018-09-03,95.083,95.115,95.175,94.945,6.60K,0.00%
2018-09-04,95.38,95.105,95.68,95.085,22.20K,0.31%
2018-09-05,95.124,95.35,95.62,94.995,24.33K,-0.27%
2018-09-06,94.988,95.04,95.175,94.88,17.39K,-0.14%
2018-09-07,95.329,95,95.42,94.83,26.24K,0.36%
2018-09-10,95.11,95.385,95.54,94.985,23.11K,-0.23%
2018-09-11,95.225,95.13,95.33,94.845,29.32K,0.12%
2018-09-12,94.768,95.11,95.27,94.705,34.87K,-0.48%
2018-09-13,94.517,94.85,94.955,94.41,27.96K,-0.26%
2018-09-14,94.925,94.56,94.99,94.355,10.47K,0.43%
2018-09-17,94.486,94.925,94.925,94.49,0.06K,-0.46%
2018-09-18,94.227,94.18,94.32,93.88,19.09K,-0.27%
2018-09-19,94.119,94.15,94.325,93.91,15.32K,-0.11%
2018-09-20,93.491,94.165,94.165,93.405,28.35K,-0.67%
2018-09-21,93.798,93.49,93.93,93.395,23.21K,0.33%
2018-09-24,93.775,93.795,93.95,93.415,16.81K,-0.02%
2018-09-25,93.711,93.82,93.96,93.59,14.78K,-0.07%
2018-09-26,93.773,93.76,94,93.52,21.09K,0.07%
2018-09-27,94.524,93.89,94.62,93.81,27.05K,0.80%
2018-09-28,94.737,94.63,94.985,94.55,23.14K,0.23%
2018-10-01,94.929,94.71,95,94.605,14.86K,0.20%
2018-10-02,95.14,94.92,95.39,94.895,26.49K,0.22%
2018-10-03,95.406,95.115,95.745,94.885,21.51K,0.28%
2018-10-04,95.412,95.715,95.78,95.19,25.23K,0.01%
2018-10-05,95.305,95.41,95.625,95.175,23.06K,-0.11%
2018-10-08,95.436,95.3,95.705,95.26,12.18K,0.14%
2018-10-09,95.346,95.425,95.84,95.31,21.73K,-0.09%
2018-10-10,95.177,95.305,95.47,95.05,20.04K,-0.18%
2018-10-11,94.706,95.12,95.125,94.665,29.20K,-0.49%
2018-10-12,94.911,94.715,95.055,94.64,16.37K,0.22%
2018-10-15,94.754,95.005,95.06,94.635,13.75K,-0.17%
2018-10-16,94.748,94.765,94.9,94.47,15.73K,-0.01%
2018-10-17,95.297,94.795,95.375,94.77,24.83K,0.58%
2018-10-18,95.638,95.365,95.735,95.21,23.26K,0.36%
2018-10-19,95.443,95.695,95.83,95.275,26.37K,-0.20%
2018-10-22,95.749,95.385,95.84,95.205,16.46K,0.32%
2018-10-23,95.713,95.775,95.92,95.545,22.79K,-0.04%
2018-10-24,96.182,95.71,96.305,95.665,28.40K,0.49%
2018-10-25,96.455,96.12,96.5,95.975,28.29K,0.28%
2018-10-26,96.128,96.35,96.62,96.05,28.67K,-0.34%
2018-10-29,96.35,96.225,96.475,96.115,24.38K,0.23%
2018-10-30,96.791,96.44,96.805,96.395,16.49K,0.46%
2018-10-31,96.901,96.78,96.98,96.655,22.88K,0.11%
2018-11-01,96.081,96.885,96.91,96,29.79K,-0.85%
2018-11-02,96.343,96.13,96.405,95.795,31.27K,0.27%
2018-11-05,96.083,96.275,96.51,96.045,16.87K,-0.27%
2018-11-06,96.117,96.115,96.255,95.95,14.08K,0.04%
2018-11-07,95.807,95.765,96.285,95.485,34.01K,-0.32%
2018-11-08,96.55,95.995,96.58,95.895,17.93K,0.78%
2018-11-09,96.734,96.475,96.85,96.455,16.03K,0.19%
2018-11-12,97.382,96.875,97.53,96.8,21.08K,0.67%
