Date,Price,Open,High,Low,Vol.,Change %
2018-07-16,7600.45,7661.87,7667.71,7564.96,608.96M,-0.80%
2018-07-17,7626.33,7600.45,7641.1,7581.83,746.77M,0.34%
2018-07-18,7676.28,7626.33,7685.68,7625.75,671.52M,0.65%
2018-07-19,7683.97,7676.28,7702.85,7660.02,716.90M,0.10%
2018-07-20,7678.79,7683.97,7705.8,7631.66,706.25M,-0.07%
2018-07-23,7655.79,7678.79,7678.79,7621.75,591.25M,-0.30%
2018-07-24,7709.05,7655.79,7740.64,7648.59,878.89M,0.70%
2018-07-25,7658.26,7709.05,7710.25,7640.59,698.48M,-0.66%
2018-07-26,7663.17,7658.26,7684.72,7640.94,607.06M,0.06%
2018-07-27,7701.31,7663.17,7717.22,7663.16,788.38M,0.50%
2018-07-30,7700.85,7701.31,7718.06,7659.91,755.66M,-0.01%
2018-07-31,7748.76,7700.85,7782.9,7695.76,943.37M,0.62%
2018-08-01,7652.91,7748.76,7751.1,7634.66,1.01B,-1.24%
2018-08-02,7575.93,7652.91,7652.91,7549.34,1.04B,-1.01%
2018-08-03,7659.1,7575.93,7665.16,7575.93,670.04M,1.10%
2018-08-06,7663.78,7659.1,7681.86,7636.6,838.43M,0.06%
2018-08-07,7718.48,7663.78,7752.08,7663.2,696.34M,0.71%
2018-08-08,7776.65,7718.48,7790.17,7707.3,621.15M,0.75%
2018-08-09,7741.77,7776.65,7776.77,7714.52,582.94M,-0.45%
2018-08-10,7667.01,7741.77,7741.77,7657.72,684.69M,-0.97%
2018-08-13,7642.45,7667.01,7667.33,7614.48,612.15M,-0.32%
2018-08-14,7611.64,7642.45,7665.24,7599.66,787.26M,-0.40%
2018-08-15,7497.87,7611.64,7632.07,7477.05,994.26M,-1.49%
2018-08-16,7556.38,7497.87,7565.18,7497.87,795.28M,0.78%
2018-08-17,7558.59,7556.38,7577.68,7514.26,621.37M,0.03%
2018-08-20,7591.26,7558.59,7616.15,7558.59,576.84M,0.43%
2018-08-21,7565.7,7591.26,7601.65,7557.34,560.35M,-0.34%
2018-08-22,7574.24,7565.7,7607.23,7531.24,630.16M,0.11%
2018-08-23,7563.22,7574.24,7602.1,7560.85,592.64M,-0.15%
2018-08-24,7577.49,7563.22,7587.19,7557.67,523.57M,0.19%
2018-08-28,7617.22,7577.49,7636.72,7577.49,603.83M,0.52%
2018-08-29,7563.21,7617.22,7635.74,7545.08,709.98M,-0.71%
2018-08-30,7516.03,7563.21,7563.21,7497.54,642.44M,-0.62%
2018-08-31,7432.42,7516.03,7516.46,7428.67,838.07M,-1.11%
2018-09-03,7504.6,7432.42,7516.06,7432.18,468.85M,0.97%
2018-09-04,7457.86,7504.6,7535.12,7437.65,672.99M,-0.62%
2018-09-05,7383.28,7457.86,7457.86,7357.98,792.99M,-1.00%
2018-09-06,7318.96,7383.28,7397.74,7313.12,743.69M,-0.87%
2018-09-07,7277.7,7318.96,7328.3,7227.07,889.09M,-0.56%
2018-09-10,7279.3,7277.7,7307.85,7256.51,717.86M,0.02%
2018-09-11,7273.54,7279.3,7280.48,7220.5,664.03M,-0.08%
2018-09-12,7313.36,7273.54,7325.25,7250.84,698.11M,0.55%
2018-09-13,7281.57,7313.36,7319.57,7275.14,681.15M,-0.43%
2018-09-14,7304.04,7281.57,7323.83,7281.57,595.14M,0.31%
2018-09-17,7302.1,7304.04,7318.77,7267.83,640.19M,-0.03%
2018-09-18,7300.23,7302.1,7320.07,7281.98,722.03M,-0.03%
2018-09-19,7331.12,7300.23,7346.11,7279.92,785.95M,0.42%
2018-09-20,7367.32,7331.12,7368.43,7324.01,891.66M,0.49%
2018-09-21,7490.23,7367.32,7495.26,7367.32,1.55B,1.67%
2018-09-24,7458.41,7490.23,7491.25,7450.53,710.21M,-0.42%
2018-09-25,7507.56,7458.41,7515.94,7455.22,791.70M,0.66%
2018-09-26,7511.49,7507.56,7522.06,7490.2,693.15M,0.05%
2018-09-27,7545.44,7511.49,7552.02,7490.94,666.22M,0.45%
2018-09-28,7510.2,7545.44,7548.36,7474.67,943.92M,-0.47%
2018-10-01,7495.67,7510.2,7526.2,7466.67,746.18M,-0.19%
2018-10-02,7474.55,7495.67,7495.67,7444.8,843.12M,-0.28%
2018-10-03,7510.28,7474.55,7524.06,7474.55,849.12M,0.48%
2018-10-04,7418.34,7510.28,7510.28,7411.31,826.76M,-1.22%
2018-10-05,7318.54,7418.34,7421.12,7318.54,758.63M,-1.35%
2018-10-08,7233.33,7318.54,7319.84,7233.33,695.80M,-1.16%
2018-10-09,7237.59,7233.33,7247.64,7184.28,789.69M,0.06%
2018-10-10,7145.74,7237.59,7242.31,7145.74,1.06B,-1.27%
2018-10-11,7006.93,7145.74,7145.74,6998.02,1.21B,-1.94%
2018-10-12,6995.91,7006.93,7073.99,6994.78,903.68M,-0.16%
2018-10-15,7029.22,6995.91,7038.23,6961.28,674.96M,0.48%
2018-10-16,7059.4,7029.22,7062.08,6998.93,786.10M,0.43%
2018-10-17,7054.6,7059.4,7089.03,7019.41,707.14M,-0.07%
2018-10-18,7026.99,7054.6,7078.76,7026.74,692.86M,-0.39%
2018-10-19,7049.8,7026.99,7070.38,7012.56,800.35M,0.32%
2018-10-22,7042.8,7049.8,7114.12,7042.05,806.70M,-0.10%
2018-10-23,6955.21,7042.8,7042.8,6928.65,1.01B,-1.24%
2018-10-24,6962.98,6955.21,7049.83,6955.21,797.99M,0.11%
2018-10-25,7004.1,6962.98,7004.1,6885.99,853.93M,0.59%
2018-10-26,6939.56,7004.1,7004.16,6851.59,803.06M,-0.92%
2018-10-29,7026.32,6939.56,7085.88,6939.56,804.71M,1.25%
2018-10-30,7035.85,7026.32,7060.06,6983.68,774.72M,0.14%
2018-10-31,7128.1,7035.85,7161.54,7035.85,923.08M,1.31%
2018-11-01,7114.66,7128.1,7165.61,7085.74,1.06B,-0.19%
2018-11-02,7094.12,7114.66,7196.39,7094.12,824.95M,-0.29%
2018-11-05,7103.84,7094.12,7140.37,7077.4,570.49M,0.14%
2018-11-06,7040.68,7103.84,7117.5,7027.45,666.52M,-0.89%
2018-11-07,7117.28,7040.68,7136.75,7040.68,698.98M,1.09%
2018-11-08,7140.68,7117.28,7171.69,7115.01,697.80M,0.33%
2018-11-09,7105.34,7140.68,7140.68,7070.8,672.89M,-0.49%
2018-11-12,7053.08,7105.34,7186.31,7053.08,730.62M,-0.74%
2018-11-13,7053.76,7053.08,7103.97,7016.64,1.08B,0.01%
2018-11-14,7033.79,7053.76,7113.59,6979.68,953.79M,-0.28%
2018-11-15,7038.01,7033.79,7081.88,6979.57,1.29B,0.06%
2018-11-16,7013.88,7038.01,7092.44,6968.99,1.04B,-0.34%
2018-11-19,7000.89,7013.88,7070.46,6997.83,800.44M,-0.19%
2018-11-20,6947.92,7000.89,7010.1,6904.21,851.71M,-0.76%
2018-11-21,7050.23,6947.92,7058.56,6947.92,864.50M,1.47%
2018-11-22,6960.32,7050.23,7050.43,6944.95,786.80M,-1.28%
2018-11-23,6952.86,6960.32,6987.53,6912.3,707.66M,-0.11%
2018-11-26,7036,6952.86,7050.96,6952.86,826.83M,1.20%
2018-11-27,7016.85,7036,7043.7,6983.98,855.62M,-0.27%
2018-11-28,7004.52,7016.85,7057.03,6987.25,825.36M,-0.18%
2018-11-29,7038.95,7004.52,7078.37,7004.52,797.79M,0.49%
2018-11-30,6980.24,7038.95,7042.07,6965.6,1.22B,-0.83%
2018-12-03,7062.41,6980.24,7145.49,6980.24,891.14M,1.18%
2018-12-04,7022.76,7062.41,7095.01,7002.71,844.63M,-0.56%
2018-12-05,6921.84,7022.76,7028.65,6921.84,813.44M,-1.44%
2018-12-06,6704.05,6921.84,6921.84,6673.57,1.06B,-3.15%
2018-12-07,6778.11,6704.05,6868.27,6704.05,845.32M,1.10%
2018-12-10,6721.54,6778.11,6815.84,6719.17,891.07M,-0.83%
2018-12-11,6806.94,6721.54,6857.58,6721.54,867.26M,1.27%
2018-12-12,6880.19,6806.94,6902.19,6806.94,1.10B,1.08%
2018-12-13,6877.5,6880.19,6908.48,6848.98,757.82M,-0.04%
2018-12-14,6845.17,6877.5,6877.5,6788.65,736.01M,-0.47%
2018-12-17,6773.24,6845.17,6845.17,6761.38,734.72M,-1.05%
2018-12-18,6701.59,6773.24,6773.24,6701.59,880.78M,-1.06%
2018-12-19,6765.94,6701.59,6785.16,6698.15,777.37M,0.96%
2018-12-20,6711.93,6765.94,6765.94,6646.45,929.57M,-0.80%
2018-12-21,6721.17,6711.93,6733,6653.65,1.65B,0.14%
2018-12-24,6685.99,6721.17,6721.17,6661.04,198.77M,-0.52%
2018-12-27,6584.68,6685.99,6728.49,6536.53,608.36M,-1.52%
2018-12-28,6733.97,6584.68,6742.48,6584.68,515.16M,2.27%
2018-12-31,6728.13,6733.97,6752.54,6718.32,232.27M,-0.09%
2019-01-02,6734.23,6728.13,6753.29,6599.48,633.24M,0.09%
2019-01-03,6692.66,6734.23,6753.14,6685.09,694.92M,-0.62%
2019-01-04,6837.42,6692.66,6850.37,6692.5,658.88M,2.16%
2019-01-07,6810.88,6837.42,6874.11,6778.01,759.33M,-0.39%
2019-01-08,6861.6,6810.88,6901.48,6804.89,672.10M,0.74%
2019-01-09,6906.63,6861.6,6938.31,6861.6,887.29M,0.66%
2019-01-10,6942.87,6906.63,6948.18,6860.82,630.32M,0.52%
2019-01-11,6918.18,6942.87,7001.94,6902.65,701.51M,-0.36%
2019-01-14,6855.02,6918.18,6918.21,6841.74,704.57M,-0.91%
2019-01-15,6895.02,6855.02,6910.45,6849.63,708.58M,0.58%
2019-01-16,6862.68,6895.02,6912.44,6848.57,811.96M,-0.47%
2019-01-17,6834.92,6862.68,6862.68,6799.03,600.66M,-0.40%
2019-01-18,6968.33,6834.92,6984.36,6834.92,820.33M,1.95%
2019-01-21,6970.59,6968.33,6987.93,6954.52,488.78M,0.03%
2019-01-22,6901.39,6970.59,6970.59,6880.69,583.46M,-0.99%
2019-01-23,6842.88,6901.39,6901.63,6834.3,666.01M,-0.85%
2019-01-24,6818.95,6842.88,6854.59,6802.03,618.51M,-0.35%
2019-01-25,6809.22,6818.95,6858.19,6806.77,749.99M,-0.14%
2019-01-28,6747.1,6809.22,6812.53,6734,668.24M,-0.91%
2019-01-29,6833.93,6747.1,6860.34,6747.1,718.59M,1.29%
