Date,Price,Open,High,Low,Vol.,Change %
2013-11-27,16074.00,16060.00,16096.00,16043.00,79.00K,0.09%
2013-11-28,16110.00,16101.00,16135.00,16093.00,0K,0.22%
2013-11-29,16066.00,16080.00,16162.00,16061.00,69.97K,-0.27%
2013-12-02,15998.00,16096.00,16114.00,15972.00,118.92K,-0.42%
2013-12-03,15891.00,15988.00,16004.00,15847.00,147.13K,-0.67%
2013-12-04,15886.00,15896.00,15954.00,15785.00,183.57K,-0.03%
2013-12-05,15817.00,15892.00,15899.00,15802.00,138.38K,-0.43%
2013-12-06,16013.00,15819.00,16075.00,15819.00,152.07K,1.24%
2013-12-09,16026.00,16019.00,16054.00,16003.00,86.16K,0.08%
2013-12-10,15978.00,16027.00,16047.00,15962.00,100.67K,-0.30%
2013-12-11,15836.00,15989.00,16020.00,15820.00,155.00K,-0.89%
2013-12-12,15741.00,15837.00,15856.00,15702.00,145.05K,-0.60%
2013-12-13,15757.00,15738.00,15793.00,15716.00,55.06K,0.10%
2013-12-16,15880.00,15753.00,15935.00,15665.00,54.03K,0.78%
2013-12-17,15869.00,15879.00,15926.00,15835.00,37.01K,-0.07%
2013-12-18,16166.00,15870.00,16185.00,15810.00,33.87K,1.87%
2013-12-19,16175.00,16170.00,16197.00,16098.00,23.26K,0.06%
2013-12-20,16209.50,16175.00,16219.00,16172.00,2.10K,0.21%
2013-12-23,16238.00,16208.00,16257.00,16205.00,53.23K,0.18%
2013-12-24,16303.00,16243.00,16305.00,16223.00,19.94K,0.40%
2013-12-26,16422.00,16306.00,16428.00,16306.00,37.80K,0.73%
2013-12-27,16421.00,16426.00,16466.00,16390.00,53.73K,-0.01%
2013-12-30,16439.00,16417.00,16450.00,16406.00,39.27K,0.11%
2013-12-31,16494.00,16445.00,16540.00,16436.00,38.31K,0.33%
2014-01-01,16522.00,16522.00,16522.00,16522.00,0K,0.17%
2014-01-02,16388.00,16473.00,16495.00,16353.00,97.79K,-0.81%
2014-01-03,16407.00,16391.00,16454.00,16336.00,93.30K,0.12%
2014-01-06,16365.00,16399.00,16472.00,16336.00,115.13K,-0.26%
2014-01-07,16454.00,16355.00,16496.00,16355.00,110.39K,0.54%
2014-01-08,16407.00,16459.00,16483.00,16356.00,120.76K,-0.29%
2014-01-09,16391.00,16407.00,16470.00,16313.00,132.74K,-0.10%
2014-01-10,16381.00,16392.00,16460.00,16317.00,138.31K,-0.06%
2014-01-13,16214.00,16387.00,16393.00,16179.00,139.48K,-1.02%
2014-01-14,16299.00,16211.00,16312.00,16182.00,135.76K,0.52%
2014-01-15,16408.00,16302.00,16444.00,16290.00,114.96K,0.67%
2014-01-16,16324.00,16413.00,16426.00,16312.00,96.50K,-0.51%
2014-01-17,16397.00,16343.00,16435.00,16321.00,114.28K,0.45%
2014-01-20,16401.00,16404.00,16404.00,16368.00,0K,0.02%
2014-01-21,16355.00,16395.00,16489.00,16253.00,158.16K,-0.28%
2014-01-22,16317.00,16328.00,16382.00,16274.00,106.55K,-0.23%
2014-01-23,16151.00,16316.00,16354.00,16078.00,174.73K,-1.02%
2014-01-24,15816.00,16151.00,16181.00,15795.00,233.44K,-2.07%
2014-01-27,15787.00,15801.00,15887.00,15722.00,257.32K,-0.18%
2014-01-28,15876.00,15783.00,15943.00,15761.00,157.57K,0.56%
2014-01-29,15698.00,15934.00,15983.00,15643.00,284.15K,-1.12%
2014-01-30,15733.00,15689.00,15846.00,15666.00,178.29K,0.22%
2014-01-31,15630.00,15741.00,15753.00,15550.00,220.50K,-0.65%
2014-02-03,15292.00,15644.00,15697.00,15280.00,271.07K,-2.16%
2014-02-04,15338.00,15323.00,15417.00,15282.00,211.68K,0.30%
2014-02-05,15367.00,15342.00,15415.00,15276.00,200.22K,0.19%
2014-02-06,15549.00,15383.00,15577.00,15377.00,179.06K,1.18%
2014-02-07,15739.00,15563.00,15749.00,15471.00,206.30K,1.22%
2014-02-10,15739.00,15748.00,15758.00,15675.00,106.80K,0.00%
2014-02-11,15929.00,15741.00,15972.00,15736.00,147.45K,1.21%
2014-02-12,15943.00,15925.00,16008.00,15897.00,123.10K,0.09%
2014-02-13,15979.00,15943.00,16012.00,15822.00,144.23K,0.23%
2014-02-14,16127.00,15980.00,16148.00,15911.00,121.85K,0.93%
2014-02-17,16149.50,16126.00,16185.50,16101.00,0K,0.14%
2014-02-18,16107.00,16120.00,16189.00,16077.00,130.08K,-0.26%
2014-02-19,16016.00,16107.00,16201.00,16004.00,187.53K,-0.56%
2014-02-20,16100.00,16021.00,16137.00,15947.00,165.70K,0.52%
2014-02-21,16093.00,16104.00,16171.00,16072.00,135.68K,-0.04%
2014-02-24,16186.00,16099.00,16281.00,16039.00,133.87K,0.58%
2014-02-25,16187.00,16180.00,16235.00,16122.00,144.45K,0.01%
2014-02-26,16178.00,16196.00,16244.00,16135.00,147.75K,-0.06%
2014-02-27,16272.00,16192.00,16288.00,16102.00,161.93K,0.58%
2014-02-28,16307.00,16282.00,16388.00,16210.00,194.04K,0.22%
2014-03-03,16148.00,16225.00,16228.00,16058.00,251.62K,-0.98%
2014-03-04,16381.00,16154.00,16409.00,16152.00,185.84K,1.44%
2014-03-05,16355.00,16379.00,16405.00,16330.00,129.28K,-0.16%
2014-03-06,16415.00,16366.00,16439.00,16344.00,120.22K,0.37%
2014-03-07,16448.00,16415.00,16508.00,16389.00,175.28K,0.20%
2014-03-10,16413.00,16437.00,16459.00,16326.00,123.91K,-0.21%
2014-03-11,16336.00,16408.00,16458.00,16320.00,149.37K,-0.47%
